NOMBRE EST.,BIC. DISPONIBLES,DIR.
1860189190334925058,13,1860189190334925058
64de0666-b9ab-404e-a16b-03e449bb5b4d,22,4898
1786375597504305174,29,1786375597504305174
94bcf812-5cff-460c-841f-54876ed1e7a4,13,4971
7f3aa940-18ef-4900-89dc-cdb05f693f31,13,4903
d7f55e1b-12db-49d1-9cd8-4fb464745841,6,4814
d52d4171-fd60-4a28-b7e2-89f3693e0591,7,5065
989fdf95-cfb9-475c-ba0c-3152fd3a16e0,25,4352
66dd455e-0aca-11e7-82f6-3863bb44ef7c,14,3147
1838070626762830158,22,1838070626762830158
7f1b4c40-d9fa-4182-be0e-a993655cfb6f,32,3949
9991b75b-a9ba-4abc-bf84-0108291be05a,31,4449
c042a307-2d7d-4ee9-95b7-a7505a3428c2,24,4712
66de1368-0aca-11e7-82f6-3863bb44ef7c,33,3344
